id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attack_delay_total,attack_delay_events,attempts,route,total_fee,attempts_history
74,1070,2672,113103,67492,18446744073709551615,68296,0,1,0,0,0,0,0,1,6584-37528-33913-46975,1,"[{""attempts"":1,""is_succeeded"":1,""end_time"":68296,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":6584,""from_node_id"":1070,""to_node_id"":326,""sent_amt"":113104,""edge_cap"":73996280,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":37528,""from_node_id"":326,""to_node_id"":3283,""sent_amt"":113103,""edge_cap"":122613321,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":33913,""from_node_id"":3283,""to_node_id"":2,""sent_amt"":113103,""edge_cap"":28123264,""channel_cap"":31337000,""group_cap"":null,""channel_update"":31337000},{""edge_id"":46975,""from_node_id"":2,""to_node_id"":2672,""sent_amt"":113103,""edge_cap"":60139181,""channel_cap"":61337000,""group_cap"":null,""channel_update"":61337000}]}]"
75,5520,5482,96143,68321,18446744073709551615,71522,1,0,0,2,0,0,0,4,54399-46623-49356-54081,4000,
76,5607,5299,105394,68436,18446744073709551615,69040,1,1,0,0,0,0,0,2,55338-55876-52773,2104,
77,775,2061,107617,70274,18446744073709551615,73475,1,0,0,2,0,0,0,4,4244-3911-16076,2,
78,778,4594,96011,71777,18446744073709551615,72782,0,1,1,0,0,0,0,2,4261-20032-52223,2009,"[{""attempts"":2,""is_succeeded"":1,""end_time"":72782,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":4261,""from_node_id"":778,""to_node_id"":54,""sent_amt"":98020,""edge_cap"":19311843,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000},{""edge_id"":20032,""from_node_id"":54,""to_node_id"":2440,""sent_amt"":97020,""edge_cap"":469624,""channel_cap"":241273000,""group_cap"":null,""channel_update"":241273000},{""edge_id"":52223,""from_node_id"":2440,""to_node_id"":4594,""sent_amt"":96011,""edge_cap"":73366059,""channel_cap"":75000000,""group_cap"":null,""channel_update"":75000000}]},{""attempts"":1,""is_succeeded"":0,""end_time"":72181,""error_edge"":45344,""error_type"":1,""route"":[{""edge_id"":4261,""from_node_id"":778,""to_node_id"":54,""sent_amt"":98020,""edge_cap"":19409863,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000},{""edge_id"":726,""from_node_id"":54,""to_node_id"":177,""sent_amt"":97020,""edge_cap"":356084535,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":45344,""from_node_id"":177,""to_node_id"":4594,""sent_amt"":96011,""edge_cap"":77393,""channel_cap"":150000000,""group_cap"":null,""channel_update"":96011}]}]"
79,3169,3041,115502,72028,18446744073709551615,72629,0,1,0,0,0,0,0,1,33383-32830-26329,1,"[{""attempts"":1,""is_succeeded"":1,""end_time"":72629,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33383,""from_node_id"":3169,""to_node_id"":3726,""sent_amt"":115503,""edge_cap"":29409963,""channel_cap"":29984000,""group_cap"":null,""channel_update"":29984000},{""edge_id"":32830,""from_node_id"":3726,""to_node_id"":345,""sent_amt"":115503,""edge_cap"":3590,""channel_cap"":37131000,""group_cap"":null,""channel_update"":37131000},{""edge_id"":26329,""from_node_id"":345,""to_node_id"":3041,""sent_amt"":115502,""edge_cap"":140539787,""channel_cap"":146601000,""group_cap"":null,""channel_update"":146601000}]}]"
80,1079,4075,105386,73114,18446744073709551615,76316,1,0,0,1,0,0,0,3,6649-5815-37492,2,
81,5280,57,99846,74685,18446744073709551615,75288,0,1,0,0,0,0,0,1,52247-22619-124,2099,"[{""attempts"":1,""is_succeeded"":1,""end_time"":75288,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":52247,""from_node_id"":5280,""to_node_id"":2689,""sent_amt"":101945,""edge_cap"":161556262,""channel_cap"":175325000,""group_cap"":null,""channel_update"":175325000},{""edge_id"":22619,""from_node_id"":2689,""to_node_id"":54,""sent_amt"":100846,""edge_cap"":225602655,""channel_cap"":246342000,""group_cap"":null,""channel_update"":246342000},{""edge_id"":124,""from_node_id"":54,""to_node_id"":57,""sent_amt"":99846,""edge_cap"":3239636,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000}]}]"
82,3688,4846,99477,75383,18446744073709551615,76187,1,1,0,0,0,0,0,2,32471-50016-23575-48566,4000,
83,5033,3762,104163,77067,18446744073709551615,77870,0,1,0,0,0,0,0,1,49646-51632-55756-33147,1073,"[{""attempts"":1,""is_succeeded"":1,""end_time"":77870,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":49646,""from_node_id"":5033,""to_node_id"":4897,""sent_amt"":105236,""edge_cap"":6200508,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":51632,""from_node_id"":4897,""to_node_id"":3467,""sent_amt"":105236,""edge_cap"":121714569,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":55756,""from_node_id"":3467,""to_node_id"":3743,""sent_amt"":105213,""edge_cap"":69474817,""channel_cap"":1100000000,""group_cap"":null,""channel_update"":1100000000},{""edge_id"":33147,""from_node_id"":3743,""to_node_id"":3762,""sent_amt"":104163,""edge_cap"":15920794706,""channel_cap"":16770000000,""group_cap"":null,""channel_update"":16770000000}]}]"
